Abashiri Station,網走駅（あばしり）
Kasai Station,葛西駅（かさい）
Kasai-rinkai-kōen Station,葛西臨海公園駅（かさいりんかいこうえん）
Kasama Station,笠間駅（かさま）
Kasamatsu Station (Gifu),笠松駅（かさまつ）
Kasamatsu Station (Kyoto),傘松駅（かさまつ）
Kasanui Station,笠縫駅（かさぬい）
Kasaoka Station,笠岡駅（かさおか）
Kasashiho Station,笠師保駅（かさしほ）
Kasashima Station,笠島駅（かさしま）
Kase Station (Kumamoto),加勢駅（かせ）
Kase Station (Aomori),嘉瀬駅（かせ）
Kaseda Station,笠田駅（かせだ）
Kasei Station,禾生駅（かせい）
Kashiba Station,香芝駅（かしば）
Kashiharajingū-mae Station,橿原神宮前駅（かしはらじんぐうまえ）
Kashiharajingū-nishiguchi Station,橿原神宮西口駅（かしはらじんぐうにしぐち）
Kashii Station,香椎駅（かしい）
Kashiijingū Station,香椎神宮駅（かしいじんぐう）
Kashiikaenmae Station,香椎花園前駅（かしいかえんまえ）
Kashiimiyamae Station,香椎宮前駅（かしいみやまえ）
Kashikojima Station,賢島駅（かしこじま）
Kashima Soccer Stadium Station,鹿島サッカースタジアム駅（かしまサッカースタジアム）
Kashima Station (Osaka),加島駅（かしま）
Kashima Station (Fukushima),鹿島駅（かしま）
Kashima-Asahi Station,鹿島旭駅（かしまあさひ）
Kashimada Station,鹿島田駅（かしまだ）
Kashimadai Station,鹿島台駅（かしまだい）
Kashimajingū Station,鹿島神宮駅（かしまじんぐう）
Kashimanada Station,鹿島灘駅（かしまなだ）
Kashima-Ōno Station,鹿島大野駅（かしまおおの）
Kashiwa Station,柏駅（かしわ）
Kashiwabara Station,柏原駅 (滋賀県)（かしわばら）
Kashiwadai Station,かしわ台駅（かしわだい）
Kashiwagidaira Station,柏木平駅（かしわぎだいら）
Kashiwamori Station,柏森駅（かしわもり）
Kashiwanoha Campus Station,柏の葉キャンパス駅（かしわのはきゃんぱす）
Kashiwara Station,柏原駅 (大阪府)（かしわら）
Kashiwara-minamiguchi Station,柏原南口駅（かしわらみなみぐち）
Kashiwa-Tanaka Station,柏たなか駅（かしわたなか）
Kashiwazaki Station,柏崎駅（かしわざき）
Kashiyama Station,樫山駅（かしやま）
Kasose Station,風合瀬駅（かそせ）
Kassemba Station,合戦場駅（かっせんば）
Kasubuchi Station,粕淵駅（かすぶち）
Kasuga Station (Fukuoka),春日駅 (福岡県)（かすが）
Kasuga Station (Tokyo),春日駅 (東京都)（かすが）
Kasugabaru Station,春日原駅（かすがばる）
Kasugachō Station,春日町駅（かすがちょう）
Kasugagawa Station,春日川駅（かすががわ）
Kasugai Station (JR Central),春日井駅 (JR東海)（かすがい）
Kasugai Station (Meitetsu),春日井駅 (名鉄)（かすがい）
Kasugaichō Station,春日居町駅（かすがいちょう）
Kasuganomichi Station (Hankyu),春日野道駅 (阪急)（かすがのみち）
Kasuganomichi Station (Hanshin),春日野道駅 (阪神)（かすがのみち）
Kasugayama Station,春日山駅（かすがやま）
Kasukabe Station,春日部駅（かすかべ）
Kasukawa Station,粕川駅（かすかわ）
Kasumi Station,香住駅（かすみ）
Kasumigaoka Station (Hyogo),霞ヶ丘駅 (兵庫県)（かすみがおか）
Kasumigaoka Station (Nara),霞ヶ丘駅 (奈良県)（かすみがおか）
Kasumigaseki Station (Saitama),霞ヶ関駅 (埼玉県)（かすみがせき）
Kasumigaseki Station (Tokyo),霞ヶ関駅 (東京都)（かすみがせき）
Kasumigaura Station,霞ヶ浦駅（かすみがうら）
Kasumori Station,烏森駅（かすもり）
Kata Station,賀田駅（かた）
Katabiranotsuji Station,帷子ノ辻駅（かたびらのつじ）
Katahama Station,片浜駅（かたはま）
Katahara Station,形原駅（かたはら）
Kataharamachi Station (Kagawa),片原町駅 (香川県)（かたはらまち）
Kataharamachi Station (Toyama),片原町駅 (富山県)（かたはらまち）
Katakai Station,片貝駅（かたかい）
Katakura Station,片倉駅（かたくら）
Katakurachō Station,片倉町駅（かたくらちょう）
Katamachi Station,潟町駅（かたまち）
Katamoto Station,潟元駅（かたもと）
Katano Station,片野駅（かたの）
Katanoshi Station,交野市駅（かたのし）
Kataoka Station,片岡駅（かたおか）
Katase-Enoshima Station,片瀬江ノ島駅（かたせえのしま）
Katase-Shirata Station,片瀬白田駅（かたせしらた）
Kataseyama Station,片瀬山駅（かたせやま）
Katashimo Station,堅下駅（かたしも）
Katata Station,堅田駅（かたた）
Katei Saibansho-mae Station,家庭裁判所前駅（かていさいばんしょまえ）
Kato Station,加斗駅（かと）
Katori Station,香取駅（かとり）
Katsuma Station,勝間駅（かつま）
Katsumada Station,勝間田駅（かつまだ）
Katsuno Station,勝野駅（かつの）
Katsunuma-budōkyō Station,勝沼ぶどう郷駅（かつぬまぶどうきょう）
Katsura Station,桂駅（かつら）
Katsuradai Station,桂台駅（かつらだい）
Katsuragawa Station (Hokkaidō),桂川駅 (北海道)（かつらがわ）
Katsuragawa Station (Kyoto),桂川駅 (京都府)（かつらがわ）
Katsurane Station,桂根駅（かつらね）
Katsuraoka Station,桂岡駅（かつらおか）
Katsurase Station,桂瀬駅（かつらせ）
Katsuta Station,勝田駅（かつた）
Katsutadai Station,勝田台駅（かつただい）
Katsuura Station,勝浦駅（かつうら）
Katsuyama Station,勝山駅（かつやま）
Katsuyamachō Station,勝山町駅（かつやまちょう）
Kawabata Station,川端駅（かわばた）
Kawabe Station (Aomori),川部駅（かわべ）
Kawabe Station (Akita),川辺駅（かわべ）
Kawabejuku Station,川辺宿駅（かわべじゅく）
Kawabenomori Station,河辺の森駅（かわべのもり）
Kawabeoki Station,川辺沖駅（かわべおき）
Kawachi-Amami Station,河内天美駅（かわちあまみ）
Kawachi-Eiwa Station,河内永和駅（かわちえいわ）
Kawachi-Hanazono Station,河内花園駅（かわちはなぞの）
Kawachi-Iwafune Station,河内磐船駅（かわちいわふね）
Kawachi-Katakami Station,河内堅上駅（かわちかたかみ）
Kawachi-Kokubu Station,河内国分駅（かわちこくぶ）
Kawachi-Kosaka Station,河内小阪駅（かわちこさか）
Kawachi-Matsubara Station,河内松原駅（かわちまつばら）
Kawachi-Mori Station,河内森駅（かわちもり）
Kawachinagano Station,河内長野駅（かわちながの）
Kawachi-Yamamoto Station,河内山本駅（かわちやまもと）
Kawado Station,川戸駅（かわど）
Kawage Station,河芸駅（かわげ）
Kawageta Station,川桁駅（かわげた）
Kawagishi Station,川岸駅（かわぎし）
Kawagoe Station,川越駅（かわごえ）
Kawagoeshi Station,川越市駅（かわごえし）
Kawagoe Tomisuhara Station,川越富洲原駅（かわごえとみすはら）
Kawaguchi Station,川口駅（かわぐち）
Kawaguchiko Station,河口湖駅（かわぐちこ）
Kawaguchi-Motogō Station,川口元郷駅（かわぐちもとごう）
Kawahara Station,河原駅（かわはら）
Kawahigashi Station (Fukushima),川東駅 (福島県)（かわひがし）
Kawahigashi Station (Saga),川東駅 (佐賀県)（かわひがし）
Kawahira Station,川平駅（かわひら）
Kawai Station (Ibaraki),河合駅（かわい）
Kawai Station (Tokyo),川井駅（かわい）
Kawainishi Station,河合西駅（かわいにし）
Kawai-Takaoka Station,川合高岡駅（かわいたかおか）
Kawaji Station,川路駅（かわじ）
Kawajionsen Station,川治温泉駅（かわじおんせん）
Kawaji-Yumoto Station,川治湯元駅（かわじゆもと）
Kawakado Station,川角駅（かわかど）
Kawake Station,河毛駅（かわけ）
Kawakura Station,川倉駅（かわくら）
Kawama Station,川間駅（かわま）
Kawamae Station,川前駅（かわまえ）
Kawamata Station,川俣駅（かわまた）
Kawaminami Station,川南駅（かわみなみ）
Kawamiya Station,川宮駅（かわみや）
Kawamura Station (Aichi),川村駅 (愛知県)（かわむら）
Kawamura Station (Kumamoto),川村駅 (熊本県)（かわむら）
Kawana Station (Shizuoka),川奈駅（かわな）
Kawana Station (Aichi),川名駅（かわな）
Kawanakajima Station,川中島駅（かわなかじま）
Kawane-Koyama Station,川根小山駅（かわねこやま）
Kawaneonsen-Sasamado Station,川根温泉笹間渡駅（かわねおんせんささまど）
Kawane-Ryōgoku Station,川根両国駅（かわねりょうごく）
Kawanishi Station (Osaka),川西駅 (大阪府)（かわにし）
Kawanishi Station (Yamaguchi),川西駅 (山口県)（かわにし）
Kawanishi-Ikeda Station,川西池田駅（かわにしいけだ）
Kawanishi-noseguchi Station,川西能勢口駅（かわにしのせぐち）
Kawano Station,河曲駅（かわの）
Kawanoe Station,川之江駅（かわのえ）
Kawara Station,香春駅（かわら）
Kawarada Station,河原田駅（かわらだ）
Kawaragahama Station,瓦ヶ浜駅（かわらがはま）
Kawaraguchi-Mihagino Station,香春口三萩野駅（かわらぐちみはぎの）
Kawaraishi Station,川原石駅（かわらいし）
Kawaramachi Station (Kagawa),瓦町駅（かわらまち）
Kawaramachi Station (Mie),川原町駅（かわらまち）
Kawaramachi Station (Kyoto),河原町駅 (京都府)（かわらまち）
Kawaramachi Station (Miyagi),河原町駅 (宮城県)（かわらまち）
Kawarayuonsen Station,川原湯温泉駅（かわらゆおんせん）
Kawasa Station,河佐駅（かわさ）
Kawasaki Station,川崎駅（かわさき）
Kawasaki-Daishi Station,川崎大師駅（かわさきだいし）
Kawasakiguchi Station,河崎口駅（かわさきぐち）
Kawasaki-shinmachi Station,川崎新町駅（かわさきしんまち）
Kawase Station,河瀬駅（かわせ）
Kawashima Station,川島駅（かわしま）
Kawashiri Station,川尻駅（かわしり）
Kawata Station,川田駅（かわた）
Kawatabi-Onsen Station,川渡温泉駅（かわたびおんせん）
Kawatana Station,川棚駅（かわたな）
Kawatanaonsen Station,川棚温泉駅（かわたなおんせん）
Kawato Station,川跡駅（かわと）
Kawauchi Station (Iwate),川内駅 (岩手県)（かわうち）
Kawauchi Station (Miyagi),川内駅 (宮城県)（かわうち）
Kawawachō Station,川和町駅（かわわちょう）
Kawayama Station,河山駅（かわやま）
Kawayuonsen Station,川湯温泉駅（かわゆおんせん）
Kawazoe Station,川添駅（かわぞえ）
Kawazu Station,河津駅（かわづ）
Kayabachō Station,茅場町駅（かやばちょう）
Kayakusa Station,萱草駅（かやくさ）
Kayama Station,栢山駅（かやま）
Kayamachi Station,茅町駅（かやまち）
Kayamachi Rokuchōme Station,萱町六丁目駅（かやまちろくちょうめ）
Kayanuma Station,茅沼駅（かやぬま）
Kayashima Station,萱島駅（かやしま）
Kazahaya Station,風早駅（かざはや）
Kazamatsuri Station,風祭駅（かざまつり）
Kazashigaoka Station,挿頭丘駅（かざしがおか）
Kazo Station,加須駅（かぞ）
Kazuma Station,鹿妻駅（かづま）
Kazuno-Hanawa Station,鹿角花輪駅（かづのはなわ）
Kazusa-Azuma Station,上総東駅（かずさあずま）
Kazusa-Ichinomiya Station,上総一ノ宮駅（かずさいちのみや）
Kazusa-Kameyama Station,上総亀山駅（かずさかめやま）
Kazusa-Kawama Station,上総川間駅（かずさかわま）
Kazusa-Kiyokawa Station,上総清川駅（かずさきよかわ）
Kazusa-Kubo Station,上総久保駅（かずさくぼ）
Kazusa-Matsuoka Station,上総松丘駅（かずさまつおか）
Kazusa-Minato Station,上総湊駅（かずさみなと）
Kazusa-Mitsumata Station,上総三又駅（かずさみつまた）
Kazusa-Murakami Station,上総村上駅（かずさむらかみ）
Kazusa-Nakagawa Station,上総中川駅（かずさなかがわ）
Kazusa-Nakano Station,上総中野駅（かずさなかの）
Kazusa-Okitsu Station,上総興津駅（かずさおきつ）
Kazusa-Ōkubo Station,上総大久保駅（かずさおおくぼ）
Kazusa-Tsurumai Station,上総鶴舞駅（かずさつるまい）
Kazusa-Ushiku Station,上総牛久駅（かずさうしく）
Kazusa-Yamada Station,上総山田駅（かずさやまだ）
K Computer Mae Station,京コンピュータ前駅（けいこんぴゅーたまえ）
Keage Station,蹴上駅（けあげ）
Kebaraichi Station,花原市駅（けばらいち）
Kega Station,毛賀駅 （けが）
Keibajōmae Station,競馬場前駅（けいばじょうまえ）
Keihan Ishiyama Station,京阪石山駅（けいはんいしやま）
Keihan Yamashina Station,京阪山科駅（けいはんやましな）
Keihan Zeze Station,京阪膳所駅（けいはんぜぜ）
Keikyū Kamata Station,京急蒲田駅（けいきゅうかまた）
Keikyū Kawasaki Station,京急川崎駅（けいきゅうかわさき）
Keikyū Kurihama Station,京急久里浜駅（けいきゅうくりはま）
Keikyū Nagasawa Station,京急長沢駅（けいきゅうながさわ）
Keikyū Ōtsu Station,京急大津駅（けいきゅうおおつ）
Keikyū Shinkoyasu Station,京急新子安駅（けいきゅうしんこやす）
Keikyū Taura Station,京急田浦駅（けいきゅうたうら）
Keikyū Tomioka Station,京急富岡駅（けいきゅうとみおか）
Keikyū Tsurumi Station,京急鶴見駅（けいきゅうつるみ）
Keiō Hachiōji Station,京王八王子駅（けいおうはちおうじ）
Keiō Horinouchi Station,京王堀之内駅（けいおうほりのうち）
Keiō Inadazutsumi Station,京王稲田堤駅（けいおういなだづつみ）
Keiō Katakura Station,京王片倉駅（けいおうかたくら）
Keiō Nagayama Station,京王永山駅（けいおうながやま）
Keiō Tama Center Station,京王多摩センター駅（けいおうたませんたー）
Keiō Tamagawa Station,京王多摩川駅（けいおうたまがわ）
Keiō Yomiuri Land Station,京王よみうりランド駅（けいおうよみうりらんど）
Keirinjōmae Station (Aichi),競輪場前駅 (愛知県)（けいりんじょうまえ）
Keirinjōmae Station (Toyama),競輪場前駅 (富山県)（けいりんじょうまえ）
Keisatsushomae Station,警察署前駅（けいさつしょまえ）
Keisei Chiba Station,京成千葉駅（けいせいちば）
Keisei Funabashi Station,京成船橋駅（けいせいふなばし）
Keisei Inage Station,京成稲毛駅（けいせいいなげ）
Keisei Hikifune Station,京成曳舟駅（けいせいひきふね）
Keisei Kanamachi Station,京成金町駅（けいせいかなまち）
Keisei Koiwa Station,京成小岩駅（けいせいこいわ）
Keisei Makuhari Station,京成幕張駅（けいせいまくはり）
Keisei Makuharihongō Station,京成幕張本郷駅（けいせいまくはりほんごう）
Keisei Nakayama Station,京成中山駅（けいせいなかやま）
Keisei Narita Station,京成成田駅（けいせいなりた）
Keisei Nishifuna Station,京成西船駅（けいせいにしふな）
Keisei Ōkubo Station,京成大久保駅（けいせいおおくぼ）
